duration_ms,data_size,n_queries,is_peak_hour,server_load,hour,day_of_week,month,operation_name_encoded
855.57,300,301.0,1,0.209,16,0,3,1
717.37,300,301.0,0,0.326,13,6,3,1
879.96,500,499.5,0,0.531,17,4,2,1
1143.5,500,499.5,1,0.406,16,3,1,1
27.29,50,1.0,0,0.891,13,2,3,3
14.41,100,2.0,1,0.799,15,1,3,5
1019.68,500,499.5,1,0.725,15,2,3,1
855.9,500,499.5,0,0.639,19,1,1,1
9.69,300,1.0,1,0.898,16,5,3,0
25.66,50,1.0,0,0.34,18,2,1,3
611.73,200,201.0,0,0.525,8,4,2,1
73.78,100,3.0,1,0.83,10,5,3,2
690.16,300,301.0,0,0.744,18,5,2,1
58.36,500,2.0,1,0.652,10,0,3,5
939.02,200,201.0,1,0.387,11,2,1,1
639.12,200,201.0,0,0.553,8,3,3,1
31.31,50,2.0,0,0.586,17,1,2,5
530.03,100,101.0,0,0.771,17,1,3,1
7.86,50,2.0,1,0.828,12,0,2,5
891.03,300,301.0,1,0.318,10,0,2,1
986.09,300,301.0,1,0.703,12,2,1,1
925.34,300,301.0,1,0.464,16,3,1,1
21.24,200,2.0,0,0.287,17,2,3,5
876.61,500,499.5,0,0.759,13,1,1,1
9.59,300,1.0,0,0.178,9,4,1,0
119.77,300,7.0,1,0.694,15,1,3,2
683.96,300,301.0,0,0.126,18,3,2,1
1048.98,300,301.0,1,0.821,15,2,1,1
21.28,300,2.0,1,0.613,12,0,2,4
13.24,50,2.0,0,0.155,13,6,1,4
143.71,500,11.0,1,0.102,11,6,1,2
47.99,100,3.0,1,0.112,16,4,3,2
90.63,500,11.0,0,0.437,13,6,2,2
658.38,50,51.0,1,0.277,15,1,3,1
62.0,500,2.0,1,0.441,12,3,1,5
715.97,300,301.0,0,0.201,9,3,2,1
26.01,500,1.0,0,0.504,19,0,3,6
506.04,50,51.0,0,0.444,18,0,3,1
35.02,200,1.0,1,0.304,15,4,2,3
12.65,300,2.0,0,0.696,9,4,1,5
673.8,100,101.0,1,0.429,16,1,3,1
14.42,50,1.0,1,0.625,12,0,3,3
513.81,50,51.0,0,0.559,13,1,2,1
40.0,500,1.0,0,0.626,17,5,3,6
23.52,100,2.0,1,0.796,12,2,2,4
39.54,50,1.0,1,0.401,10,4,1,3
532.47,100,101.0,0,0.168,13,1,2,1
521.99,100,101.0,0,0.439,17,3,1,1
11.67,200,1.0,1,0.643,11,1,2,3
608.82,200,201.0,0,0.341,8,6,3,1
676.82,100,101.0,1,0.203,12,0,2,1
167.25,500,11.0,1,0.134,16,0,1,2
503.03,50,51.0,0,0.434,13,3,3,1
486.87,50,51.0,0,0.836,13,5,3,1
658.06,50,51.0,1,0.697,11,0,1,1
540.42,100,101.0,0,0.825,9,4,1,1
652.58,100,101.0,1,0.707,11,0,1,1
1004.57,300,301.0,1,0.552,15,5,2,1
16.65,200,1.0,0,0.605,18,0,2,6
19.79,50,1.0,0,0.146,13,5,2,6
27.26,50,2.0,0,0.863,17,5,2,4
37.07,300,2.0,0,0.221,17,3,2,4
519.3,50,51.0,0,0.131,13,4,1,1
33.6,500,1.0,1,0.371,16,3,2,3
19.19,200,2.0,0,0.302,9,5,3,5
4.26,100,1.0,0,0.348,13,2,3,6
53.71,300,2.0,1,0.733,10,1,2,5
40.84,500,2.0,0,0.39,9,0,2,5
557.91,100,101.0,0,0.224,13,4,2,1
724.72,50,51.0,1,0.801,16,6,3,1
44.48,300,1.0,1,0.677,10,2,3,6
628.78,200,201.0,0,0.699,18,3,2,1
1121.26,500,499.5,1,0.643,11,3,2,1
31.62,300,1.0,1,0.741,12,3,2,3
625.65,200,201.0,0,0.669,8,1,2,1
38.52,200,2.0,0,0.218,9,5,2,4
803.88,100,101.0,1,0.399,15,6,2,1
488.98,50,51.0,0,0.62,13,1,2,1
56.84,50,2.0,1,0.459,12,5,1,2
490.24,50,51.0,0,0.522,8,5,1,1
779.02,200,201.0,1,0.466,11,4,2,1
701.44,300,301.0,0,0.675,17,0,3,1
494.11,50,51.0,0,0.635,17,4,3,1
30.32,50,1.0,1,0.799,16,1,3,0
690.15,300,301.0,0,0.376,13,6,1,1
30.91,50,2.0,0,0.537,17,2,2,5
79.14,300,7.0,0,0.673,19,6,1,2
19.82,200,2.0,1,0.512,11,5,1,4
36.46,300,1.0,1,0.138,12,2,2,6
13.98,50,1.0,0,0.865,13,0,2,0
750.73,100,101.0,1,0.682,15,6,3,1
1161.94,500,499.5,1,0.345,10,5,1,1
16.76,100,1.0,0,0.829,19,6,2,3
41.2,200,1.0,0,0.425,18,4,1,3
8.71,100,2.0,0,0.128,8,5,3,5
615.31,200,201.0,0,0.643,13,6,3,1
26.96,300,1.0,0,0.62,9,2,3,0
509.43,50,51.0,0,0.549,8,0,2,1
617.85,200,201.0,0,0.899,19,0,3,1
538.08,100,101.0,0,0.646,9,5,3,1
3.6,200,1.0,0,0.781,19,0,3,0
23.35,100,2.0,0,0.289,13,1,1,5
845.42,200,201.0,1,0.169,16,2,3,1
919.41,300,301.0,1,0.614,16,0,3,1
845.13,500,499.5,0,0.714,13,4,3,1
873.26,500,499.5,0,0.23,8,2,3,1
104.6,200,5.0,1,0.32,16,4,2,2
33.1,500,1.0,0,0.237,9,6,1,6
5.65,200,1.0,0,0.717,17,4,1,6
536.66,100,101.0,0,0.602,17,5,3,1
799.11,200,201.0,1,0.651,15,0,2,1
927.75,300,301.0,1,0.355,15,5,1,1
30.59,300,1.0,1,0.198,10,5,1,0
522.02,100,101.0,0,0.299,9,4,2,1
73.85,200,5.0,0,0.897,17,5,1,2
764.05,200,201.0,1,0.567,15,5,3,1
865.06,200,201.0,1,0.107,15,6,3,1
772.23,100,101.0,1,0.556,12,6,2,1
1048.92,500,499.5,1,0.644,12,6,3,1
672.33,50,51.0,1,0.259,14,2,3,1
1.06,50,1.0,0,0.515,8,1,3,6
1118.15,500,499.5,1,0.774,10,0,1,1
43.5,500,1.0,1,0.365,16,3,2,6
692.31,300,301.0,0,0.121,17,4,3,1
849.1,500,499.5,0,0.519,17,6,1,1
8.69,100,1.0,0,0.115,18,6,3,3
752.2,100,101.0,1,0.689,14,6,3,1
671.97,100,101.0,1,0.351,16,6,3,1
861.85,500,499.5,0,0.645,13,1,3,1
25.01,500,1.0,1,0.717,15,0,3,0
28.19,300,2.0,0,0.33,13,2,3,5
52.76,300,1.0,1,0.864,14,4,1,6
690.26,300,301.0,0,0.531,18,4,2,1
39.36,200,2.0,1,0.824,10,2,1,5
524.01,100,101.0,0,0.645,8,6,2,1
1151.16,500,499.5,1,0.705,10,6,2,1
602.37,200,201.0,0,0.528,18,1,1,1
19.0,100,2.0,1,0.496,14,0,1,4
8.44,50,1.0,0,0.328,8,1,3,0
29.1,500,1.0,1,0.747,15,5,3,6
690.29,300,301.0,0,0.733,18,2,1,1
64.25,100,3.0,0,0.362,17,3,2,2
741.41,50,51.0,1,0.288,10,2,1,1
29.92,200,1.0,0,0.654,17,3,1,0
639.32,50,51.0,1,0.652,15,6,3,1
9.83,200,1.0,0,0.698,17,3,1,0
52.05,500,1.0,1,0.704,15,5,1,3
41.15,500,2.0,1,0.538,15,1,3,4
52.91,500,1.0,1,0.674,10,1,2,6
1234.35,500,499.5,1,0.146,15,4,3,1
600.87,200,201.0,0,0.274,19,3,2,1
708.02,300,301.0,0,0.155,13,6,3,1
17.99,200,2.0,1,0.4,14,0,3,4
46.93,300,1.0,1,0.378,14,2,3,3
1173.97,500,499.5,1,0.118,14,0,1,1
1178.58,500,499.5,1,0.321,14,2,1,1
33.88,50,2.0,0,0.807,8,3,2,5
524.04,100,101.0,0,0.663,9,2,1,1
664.12,50,51.0,1,0.287,14,6,1,1
27.92,200,1.0,0,0.341,17,3,3,6
1126.46,500,499.5,1,0.829,11,2,3,1
29.27,500,1.0,1,0.52,15,5,3,3
31.99,100,1.0,1,0.341,12,5,2,3
16.59,50,1.0,1,0.304,16,2,3,3
706.23,50,51.0,1,0.315,15,3,3,1
7.03,50,1.0,0,0.274,9,0,3,6
897.75,200,201.0,1,0.9,12,4,1,1
544.18,100,101.0,0,0.542,19,0,1,1
23.26,300,1.0,1,0.473,16,0,2,3
45.57,300,2.0,0,0.55,13,1,2,5
530.43,100,101.0,0,0.336,8,2,3,1
726.43,100,101.0,1,0.306,14,4,3,1
45.56,300,2.0,1,0.491,15,6,1,5
35.36,50,1.0,1,0.43,16,6,3,6
28.54,50,2.0,0,0.148,19,4,1,2
26.51,300,1.0,0,0.109,18,5,1,6
46.63,500,1.0,1,0.243,12,4,3,0
24.89,100,1.0,1,0.163,11,6,2,6
30.47,500,1.0,1,0.623,11,3,3,3
29.84,50,2.0,1,0.237,14,1,1,4
711.38,300,301.0,0,0.523,18,4,3,1
555.5,100,101.0,0,0.159,19,6,2,1
14.32,500,1.0,0,0.215,18,5,2,6
8.98,50,1.0,1,0.365,12,5,2,3
50.1,50,2.0,1,0.161,16,1,1,2
37.34,500,1.0,1,0.492,14,6,3,6
879.88,300,301.0,1,0.336,14,0,2,1
490.72,50,51.0,0,0.223,9,6,2,1
603.66,200,201.0,0,0.316,9,5,2,1
719.56,100,101.0,1,0.383,14,1,2,1
874.55,500,499.5,0,0.723,13,4,1,1
21.84,100,1.0,0,0.315,17,3,3,6
526.69,100,101.0,0,0.726,9,4,2,1
545.0,100,101.0,0,0.186,19,3,3,1
713.66,300,301.0,0,0.452,13,2,2,1
1110.74,500,499.5,1,0.242,10,4,3,1
881.8,200,201.0,1,0.401,12,2,3,1
39.28,200,1.0,0,0.645,9,6,1,3
17.39,300,2.0,0,0.755,19,3,2,5
20.53,300,1.0,1,0.731,10,2,3,3
1179.85,500,499.5,1,0.733,15,4,3,1
865.53,500,499.5,0,0.626,17,5,1,1
862.53,500,499.5,0,0.873,8,5,3,1
680.42,300,301.0,0,0.515,9,5,2,1
22.96,100,1.0,1,0.221,15,2,3,6
38.41,50,1.0,1,0.379,12,0,1,3
721.83,100,101.0,1,0.355,16,0,2,1
513.97,50,51.0,0,0.231,8,1,3,1
139.8,500,11.0,1,0.424,10,5,2,2
848.61,300,301.0,1,0.411,14,2,1,1
77.35,200,5.0,0,0.798,19,6,1,2
816.23,200,201.0,1,0.578,11,0,2,1
13.58,50,1.0,0,0.639,13,3,2,6
39.88,500,1.0,0,0.194,9,1,2,6
711.62,100,101.0,1,0.489,16,3,3,1
17.8,100,2.0,1,0.596,16,5,1,5
31.79,300,2.0,1,0.427,10,0,3,4
875.24,300,301.0,1,0.28,15,4,1,1
709.7,300,301.0,0,0.558,17,1,2,1
861.68,500,499.5,0,0.537,13,5,1,1
13.23,100,2.0,1,0.17,12,2,2,4
35.17,100,2.0,1,0.606,11,4,2,4
787.57,100,101.0,1,0.577,11,2,3,1
864.91,200,201.0,1,0.208,12,5,3,1
6.03,50,1.0,1,0.358,12,2,1,3
872.73,300,301.0,1,0.16,15,4,3,1
47.71,300,2.0,1,0.566,16,5,2,4
40.39,50,2.0,0,0.78,19,5,3,5
22.82,100,1.0,1,0.538,14,3,2,3
715.77,300,301.0,0,0.727,13,3,1,1
642.9,50,51.0,1,0.206,10,4,2,1
71.18,200,5.0,0,0.823,9,0,2,2
692.22,300,301.0,0,0.624,18,1,3,1
32.1,100,2.0,1,0.106,15,5,3,4
699.13,50,51.0,1,0.745,14,0,1,1
778.03,200,201.0,1,0.155,12,1,1,1
12.88,100,1.0,1,0.593,15,2,3,6
555.86,100,101.0,0,0.684,9,5,1,1
711.64,300,301.0,0,0.299,13,3,1,1
53.46,500,2.0,1,0.586,12,0,3,5
983.11,300,301.0,1,0.293,12,3,1,1
56.48,500,2.0,0,0.771,8,2,2,4
846.91,500,499.5,0,0.57,18,1,2,1
556.9,100,101.0,0,0.67,8,0,2,1
30.62,300,1.0,0,0.167,9,3,3,3
726.92,100,101.0,1,0.645,10,1,3,1
718.14,300,301.0,0,0.84,19,3,1,1
842.2,500,499.5,0,0.241,17,0,3,1
520.45,100,101.0,0,0.726,19,2,2,1
103.31,200,5.0,1,0.123,10,1,3,2
20.52,500,1.0,0,0.464,9,4,3,0
686.68,300,301.0,0,0.815,17,3,1,1
25.35,100,2.0,0,0.296,19,1,1,4
893.46,300,301.0,1,0.671,10,5,1,1
91.68,200,5.0,1,0.398,11,3,2,2
50.88,100,2.0,1,0.793,11,0,2,4
23.12,200,1.0,0,0.551,9,6,1,0
1151.97,500,499.5,1,0.686,11,1,2,1
67.3,100,3.0,0,0.609,8,2,1,2
38.36,200,2.0,0,0.346,8,4,2,4
706.63,100,101.0,1,0.135,14,3,1,1
1203.62,500,499.5,1,0.504,14,0,3,1
20.21,50,1.0,0,0.333,17,5,2,3
20.11,200,1.0,0,0.724,13,4,1,3
45.94,50,2.0,1,0.266,10,5,1,2
603.62,200,201.0,0,0.658,9,0,3,1
748.62,200,201.0,1,0.642,10,3,2,1
558.08,100,101.0,0,0.3,8,1,2,1
520.48,100,101.0,0,0.42,9,6,1,1
24.94,50,2.0,0,0.822,17,2,1,5
556.2,100,101.0,0,0.141,9,1,2,1
35.46,300,1.0,1,0.25,15,6,1,3
544.56,100,101.0,0,0.499,8,5,3,1
8.69,50,1.0,0,0.808,9,1,1,3
54.58,500,2.0,0,0.725,8,2,3,5
1102.83,500,499.5,1,0.123,16,5,1,1
29.51,50,1.0,1,0.625,15,0,1,0
701.93,50,51.0,1,0.893,11,2,2,1
532.72,100,101.0,0,0.573,17,6,3,1
15.68,500,1.0,0,0.876,17,0,1,0
63.61,300,7.0,0,0.521,8,0,1,2
1229.27,500,499.5,1,0.359,11,6,1,1
876.69,500,499.5,0,0.392,19,1,1,1
684.04,300,301.0,0,0.686,17,1,2,1
692.69,300,301.0,0,0.843,18,1,3,1
150.71,500,11.0,1,0.101,10,2,2,2
8.3,300,1.0,0,0.874,17,1,3,6
877.47,500,499.5,0,0.29,9,5,1,1
49.3,50,2.0,0,0.312,19,1,3,2
490.27,50,51.0,0,0.409,13,4,1,1
106.57,300,7.0,1,0.731,15,1,2,2
39.33,100,2.0,1,0.309,10,4,1,5
890.93,200,201.0,1,0.37,10,5,1,1
7.72,50,1.0,1,0.365,14,3,2,3
48.02,500,1.0,0,0.338,19,6,3,3
701.99,300,301.0,0,0.103,17,2,2,1
1061.95,500,499.5,1,0.479,15,1,1,1
945.68,300,301.0,1,0.248,15,1,1,1
17.3,100,1.0,1,0.551,15,5,2,0
506.73,50,51.0,0,0.282,9,4,3,1
926.08,300,301.0,1,0.481,16,2,2,1
682.64,50,51.0,1,0.196,16,5,3,1
52.75,100,3.0,1,0.262,11,0,2,2
148.68,500,11.0,1,0.418,12,4,1,2
840.78,200,201.0,1,0.725,16,3,3,1
739.4,100,101.0,1,0.181,10,5,1,1
875.12,500,499.5,0,0.558,13,3,2,1
714.8,100,101.0,1,0.417,12,6,3,1
32.83,100,2.0,0,0.754,8,2,2,5
906.45,200,201.0,1,0.454,15,6,1,1
29.82,300,1.0,0,0.759,17,2,1,0
24.61,200,1.0,0,0.505,8,4,1,6
841.16,500,499.5,0,0.146,17,0,1,1
508.19,50,51.0,0,0.504,13,2,2,1
31.47,50,2.0,1,0.541,11,1,1,4
633.23,200,201.0,0,0.14,19,4,1,1
39.0,100,3.0,0,0.511,18,3,1,2
32.84,50,2.0,1,0.302,15,2,3,5
40.22,200,1.0,1,0.342,14,6,2,0
11.09,300,1.0,0,0.399,17,5,3,6
28.94,200,1.0,1,0.789,12,6,2,6
780.06,200,201.0,1,0.748,11,6,1,1
605.6,200,201.0,0,0.308,18,1,1,1
681.41,300,301.0,0,0.375,19,2,3,1
46.4,500,2.0,0,0.776,18,2,3,5
8.64,100,1.0,1,0.71,12,0,2,6
603.57,200,201.0,0,0.346,18,5,2,1
23.68,200,1.0,1,0.608,12,3,1,0
23.95,50,1.0,1,0.43,15,3,3,6
81.6,100,3.0,1,0.673,11,2,2,2
41.47,200,1.0,0,0.462,18,4,2,3
550.58,100,101.0,0,0.17,17,2,2,1
34.34,300,2.0,1,0.685,14,3,1,5
14.27,500,1.0,1,0.802,11,5,3,0
664.24,50,51.0,1,0.859,14,0,1,1
860.96,500,499.5,0,0.897,17,5,2,1
813.47,100,101.0,1,0.682,10,5,2,1
500.19,50,51.0,0,0.734,17,6,1,1
859.79,200,201.0,1,0.769,16,2,1,1
648.26,50,51.0,1,0.264,14,6,2,1
41.67,200,2.0,1,0.21,14,3,2,4
41.71,500,2.0,0,0.498,19,1,2,4
32.54,500,1.0,1,0.828,11,3,1,0
31.28,200,1.0,1,0.495,11,0,1,3
28.44,50,1.0,0,0.891,19,4,2,6
683.99,300,301.0,0,0.332,8,1,1,1
8.64,300,1.0,0,0.631,19,2,1,0
907.51,200,201.0,1,0.374,15,0,3,1
889.7,300,301.0,1,0.809,15,2,2,1
549.06,100,101.0,0,0.573,19,5,1,1
47.45,300,2.0,1,0.804,10,5,3,5
92.82,300,7.0,1,0.351,15,4,1,2
38.07,500,2.0,0,0.371,19,5,3,5
32.31,500,2.0,0,0.631,9,5,3,5
92.18,500,11.0,0,0.475,17,3,3,2
550.06,100,101.0,0,0.14,9,5,2,1
990.29,300,301.0,1,0.17,14,2,2,1
639.23,200,201.0,0,0.423,9,4,3,1
873.04,500,499.5,0,0.812,8,3,3,1
23.53,300,2.0,0,0.464,13,0,1,5
37.08,500,1.0,1,0.627,15,1,2,6
638.58,200,201.0,0,0.662,18,1,2,1
677.01,100,101.0,1,0.589,15,4,3,1
943.87,300,301.0,1,0.432,11,1,3,1
45.89,500,2.0,0,0.865,9,5,2,5
701.21,300,301.0,0,0.771,8,5,1,1
1193.36,500,499.5,1,0.58,10,5,1,1
52.03,300,1.0,1,0.876,14,3,1,6
719.63,100,101.0,1,0.661,10,0,3,1
23.69,500,2.0,0,0.649,18,0,1,5
69.98,100,3.0,1,0.55,16,1,3,2
38.91,300,2.0,0,0.438,18,0,3,5
495.23,50,51.0,0,0.314,8,2,1,1
33.59,200,1.0,1,0.126,10,4,2,0
46.58,500,2.0,0,0.411,18,4,1,4
32.58,200,2.0,0,0.881,19,3,2,5
840.52,500,499.5,0,0.725,8,4,2,1
66.86,200,5.0,0,0.871,17,4,3,2
522.98,100,101.0,0,0.402,18,4,1,1
1066.53,500,499.5,1,0.668,12,5,2,1
543.88,100,101.0,0,0.341,13,3,3,1
35.36,200,1.0,0,0.516,9,0,2,6
88.96,300,7.0,1,0.365,16,1,1,2
1153.54,500,499.5,1,0.377,16,5,3,1
849.75,500,499.5,0,0.405,17,2,1,1
29.92,300,2.0,1,0.511,12,3,3,4
8.72,50,1.0,1,0.877,12,0,3,3
2.12,50,1.0,0,0.792,18,4,3,6
685.16,50,51.0,1,0.753,11,1,3,1
538.37,100,101.0,0,0.143,8,6,2,1
32.36,50,1.0,0,0.604,17,4,2,6
698.37,50,51.0,1,0.705,14,0,3,1
38.62,50,2.0,0,0.341,13,4,1,5
926.22,300,301.0,1,0.209,14,3,2,1
1260.6,500,499.5,1,0.618,12,2,3,1
25.22,500,2.0,1,0.538,16,3,3,4
549.66,100,101.0,0,0.825,19,2,3,1
