measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load,cluster_hierarchical,cluster_kmeans
152,2025-02-04T11:18:43,get_student_average,11.67,200,1,1,0.643,1,0
155,2025-01-13T16:55:47,get_group_report,167.25,500,11,1,0.134,1,0
162,2025-02-03T18:30:28,get_teacher_subjects,16.65,200,1,0,0.605,1,0
163,2025-02-15T13:28:02,get_teacher_subjects,19.79,50,1,0,0.146,1,0
164,2025-02-15T17:37:35,get_student_grades,27.26,50,2,0,0.863,1,0
165,2025-02-20T17:30:32,get_student_grades,37.07,300,2,0,0.221,1,0
167,2025-02-13T16:26:49,get_student_average,33.6,500,1,1,0.371,1,0
168,2025-03-22T09:24:18,get_subject_stats,19.19,200,2,0,0.302,1,0
169,2025-03-05T13:58:22,get_teacher_subjects,4.26,100,1,0,0.348,1,0
170,2025-02-18T10:24:41,get_subject_stats,53.71,300,2,1,0.733,1,0
171,2025-02-17T09:23:01,get_subject_stats,40.84,500,2,0,0.39,1,0
174,2025-03-26T10:57:10,get_teacher_subjects,44.48,300,1,1,0.677,1,0
177,2025-02-06T12:52:12,get_student_average,31.62,300,1,1,0.741,1,0
179,2025-02-15T09:57:32,get_student_grades,38.52,200,2,0,0.218,1,0
182,2025-01-25T12:45:30,get_group_report,56.84,50,2,1,0.459,1,2
187,2025-03-18T16:01:24,add_grade,30.32,50,1,1,0.799,1,2
189,2025-02-05T17:02:22,get_subject_stats,30.91,50,2,0,0.537,1,0
191,2025-01-11T11:59:19,get_student_grades,19.82,200,2,1,0.512,1,0
192,2025-02-12T12:55:49,get_teacher_subjects,36.46,300,1,1,0.138,1,0
196,2025-02-02T19:46:55,get_student_average,16.76,100,1,0,0.829,1,0
197,2025-01-03T18:42:40,get_student_average,41.2,200,1,0,0.425,1,0
198,2025-03-22T08:50:28,get_subject_stats,8.71,100,2,0,0.128,1,0
205,2025-01-07T13:50:08,get_subject_stats,23.35,100,2,0,0.289,1,0
210,2025-02-07T16:40:35,get_group_report,104.6,200,5,1,0.32,1,0
211,2025-01-19T09:37:09,get_teacher_subjects,33.1,500,1,0,0.237,1,0
212,2025-01-03T17:02:41,get_teacher_subjects,5.65,200,1,0,0.717,1,0
216,2025-01-11T10:15:29,add_grade,30.59,300,1,1,0.198,1,2
224,2025-03-11T08:51:30,get_teacher_subjects,1.06,50,1,0,0.515,1,0
226,2025-02-27T16:01:23,get_teacher_subjects,43.5,500,1,1,0.365,1,0
229,2025-03-23T18:07:12,get_student_average,8.69,100,1,0,0.115,1,0
233,2025-03-10T15:14:19,add_grade,25.01,500,1,1,0.717,1,0
234,2025-03-26T13:46:17,get_subject_stats,28.19,300,2,0,0.33,1,0
235,2025-01-10T14:02:18,get_teacher_subjects,52.76,300,1,1,0.864,1,0
237,2025-01-08T10:03:42,get_subject_stats,39.36,200,2,1,0.824,1,0
241,2025-01-27T14:25:50,get_student_grades,19.0,100,2,1,0.496,1,0
243,2025-03-15T15:17:12,get_teacher_subjects,29.1,500,1,1,0.747,1,0
245,2025-02-27T17:27:32,get_group_report,64.25,100,3,0,0.362,1,0
250,2025-01-25T15:15:43,get_student_average,52.05,500,1,1,0.704,1,0
251,2025-03-04T15:03:53,get_student_grades,41.15,500,2,1,0.538,1,0
252,2025-02-04T10:43:13,get_teacher_subjects,52.91,500,1,1,0.674,1,0
256,2025-03-24T14:41:26,get_student_grades,17.99,200,2,1,0.4,1,0
257,2025-03-05T14:41:55,get_student_average,46.93,300,1,1,0.378,1,0
260,2025-02-20T08:49:59,get_subject_stats,33.88,50,2,0,0.807,1,0
263,2025-03-27T17:20:15,get_teacher_subjects,27.92,200,1,0,0.341,1,0
265,2025-03-22T15:24:50,get_student_average,29.27,500,1,1,0.52,1,0
266,2025-02-08T12:54:14,get_student_average,31.99,100,1,1,0.341,1,0
267,2025-03-05T16:24:15,get_student_average,16.59,50,1,1,0.304,1,0
269,2025-03-24T09:42:35,get_teacher_subjects,7.03,50,1,0,0.274,1,0
272,2025-02-17T16:56:31,get_student_average,23.26,300,1,1,0.473,1,0
273,2025-02-11T13:26:02,get_subject_stats,45.57,300,2,0,0.55,1,0
276,2025-01-05T15:46:34,get_subject_stats,45.56,300,2,1,0.491,1,0
277,2025-03-02T16:48:00,get_teacher_subjects,35.36,50,1,1,0.43,1,0
278,2025-01-17T19:29:23,get_group_report,28.54,50,2,0,0.148,1,0
279,2025-01-18T18:35:26,get_teacher_subjects,26.51,300,1,0,0.109,1,0
280,2025-03-14T12:51:58,add_grade,46.63,500,1,1,0.243,1,2
281,2025-02-09T11:50:25,get_teacher_subjects,24.89,100,1,1,0.163,1,0
282,2025-03-27T11:54:05,get_student_average,30.47,500,1,1,0.623,1,0
283,2025-01-21T14:00:44,get_student_grades,29.84,50,2,1,0.237,1,0
286,2025-02-01T18:13:37,get_teacher_subjects,14.32,500,1,0,0.215,1,0
287,2025-02-22T12:57:34,get_student_average,8.98,50,1,1,0.365,1,0
288,2025-01-14T16:14:53,get_group_report,50.1,50,2,1,0.161,1,0
289,2025-03-09T14:50:28,get_teacher_subjects,37.34,500,1,1,0.492,1,0
295,2025-03-13T17:10:08,get_teacher_subjects,21.84,100,1,0,0.315,1,0
301,2025-01-19T09:34:11,get_student_average,39.28,200,1,0,0.645,1,0
302,2025-02-27T19:44:04,get_subject_stats,17.39,300,2,0,0.755,1,0
303,2025-03-05T10:45:27,get_student_average,20.53,300,1,1,0.731,1,0
308,2025-03-19T15:44:32,get_teacher_subjects,22.96,100,1,1,0.221,1,0
309,2025-01-27T12:46:09,get_student_average,38.41,50,1,1,0.379,1,0
312,2025-02-15T10:14:51,get_group_report,139.8,500,11,1,0.424,1,0
316,2025-02-20T13:11:52,get_teacher_subjects,13.58,50,1,0,0.639,1,0
317,2025-02-04T09:15:19,get_teacher_subjects,39.88,500,1,0,0.194,1,0
319,2025-01-11T16:53:28,get_subject_stats,17.8,100,2,1,0.596,1,0
320,2025-03-17T10:41:31,get_student_grades,31.79,300,2,1,0.427,1,0
324,2025-02-12T12:55:52,get_student_grades,13.23,100,2,1,0.17,1,0
325,2025-02-28T11:45:39,get_student_grades,35.17,100,2,1,0.606,1,0
328,2025-01-08T12:09:45,get_student_average,6.03,50,1,1,0.358,1,0
330,2025-02-15T16:31:20,get_student_grades,47.71,300,2,1,0.566,1,0
331,2025-03-22T19:44:22,get_subject_stats,40.39,50,2,0,0.78,1,0
332,2025-02-27T14:18:21,get_student_average,22.82,100,1,1,0.538,1,0
337,2025-03-22T15:28:00,get_student_grades,32.1,100,2,1,0.106,1,0
340,2025-03-05T15:58:26,get_teacher_subjects,12.88,100,1,1,0.593,1,0
343,2025-03-10T12:13:33,get_subject_stats,53.46,500,2,1,0.586,1,0
345,2025-02-05T08:24:55,get_student_grades,56.48,500,2,0,0.771,1,0
348,2025-03-20T09:09:17,get_student_average,30.62,300,1,0,0.167,1,0
353,2025-03-04T10:49:57,get_group_report,103.31,200,5,1,0.123,1,0
354,2025-03-21T09:04:31,add_grade,20.52,500,1,0,0.464,1,2
356,2025-01-28T19:55:00,get_student_grades,25.35,100,2,0,0.296,1,0
358,2025-02-27T11:04:36,get_group_report,91.68,200,5,1,0.398,1,0
359,2025-02-03T11:56:29,get_student_grades,50.88,100,2,1,0.793,1,0
363,2025-02-28T08:47:46,get_student_grades,38.36,200,2,0,0.346,1,0
366,2025-02-22T17:08:15,get_student_average,20.21,50,1,0,0.333,1,0
367,2025-01-03T13:12:08,get_student_average,20.11,200,1,0,0.724,1,0
368,2025-01-18T10:22:49,get_group_report,45.94,50,2,1,0.266,1,2
373,2025-01-01T17:04:12,get_subject_stats,24.94,50,2,0,0.822,1,0
375,2025-01-12T15:13:58,get_student_average,35.46,300,1,1,0.25,1,0
378,2025-03-12T08:30:34,get_subject_stats,54.58,500,2,0,0.725,1,0
380,2025-01-06T15:06:15,add_grade,29.51,50,1,1,0.625,1,2
383,2025-01-27T17:51:56,add_grade,15.68,500,1,0,0.876,1,0
389,2025-02-05T10:11:46,get_group_report,150.71,500,11,1,0.101,1,0
390,2025-03-11T17:58:51,get_teacher_subjects,8.3,300,1,0,0.874,1,0
392,2025-03-11T19:28:00,get_group_report,49.3,50,2,0,0.312,1,0
394,2025-02-04T15:53:30,get_group_report,106.57,300,7,1,0.731,1,0
395,2025-01-10T10:01:20,get_subject_stats,39.33,100,2,1,0.309,1,0
397,2025-02-06T14:03:06,get_student_average,7.72,50,1,1,0.365,1,0
398,2025-03-09T19:42:18,get_student_average,48.02,500,1,0,0.338,1,0
402,2025-02-08T15:53:17,add_grade,17.3,100,1,1,0.551,1,2
406,2025-02-03T11:43:27,get_group_report,52.75,100,3,1,0.262,1,0
407,2025-01-03T12:24:35,get_group_report,148.68,500,11,1,0.418,1,0
412,2025-02-12T08:01:21,get_subject_stats,32.83,100,2,0,0.754,1,0
415,2025-01-03T08:19:45,get_teacher_subjects,24.61,200,1,0,0.505,1,0
418,2025-01-28T11:30:37,get_student_grades,31.47,50,2,1,0.541,1,0
420,2025-01-09T18:41:26,get_group_report,39.0,100,3,0,0.511,1,0
421,2025-03-26T15:00:14,get_subject_stats,32.84,50,2,1,0.302,1,0
422,2025-02-09T14:13:29,add_grade,40.22,200,1,1,0.342,1,2
423,2025-03-22T17:53:53,get_teacher_subjects,11.09,300,1,0,0.399,1,0
424,2025-02-09T12:40:20,get_teacher_subjects,28.94,200,1,1,0.789,1,0
428,2025-03-12T18:32:19,get_subject_stats,46.4,500,2,0,0.776,1,0
429,2025-02-24T12:51:35,get_teacher_subjects,8.64,100,1,1,0.71,1,0
431,2025-01-16T12:03:55,add_grade,23.68,200,1,1,0.608,1,2
432,2025-03-13T15:33:19,get_teacher_subjects,23.95,50,1,1,0.43,1,0
433,2025-02-05T11:20:55,get_group_report,81.6,100,3,1,0.673,1,0
434,2025-02-21T18:03:00,get_student_average,41.47,200,1,0,0.462,1,0
436,2025-01-02T14:34:12,get_subject_stats,34.34,300,2,1,0.685,1,0
437,2025-03-08T11:14:44,add_grade,14.27,500,1,1,0.802,1,2
444,2025-02-20T14:38:44,get_student_grades,41.67,200,2,1,0.21,1,0
445,2025-02-04T19:50:06,get_student_grades,41.71,500,2,0,0.498,1,0
446,2025-01-02T11:35:31,add_grade,32.54,500,1,1,0.828,1,2
447,2025-01-27T11:36:42,get_student_average,31.28,200,1,1,0.495,1,0
448,2025-02-21T19:14:29,get_teacher_subjects,28.44,50,1,0,0.891,1,0
454,2025-03-01T10:55:43,get_subject_stats,47.45,300,2,1,0.804,1,0
455,2025-01-03T15:16:41,get_group_report,92.82,300,7,1,0.351,1,0
456,2025-03-08T19:42:55,get_subject_stats,38.07,500,2,0,0.371,1,0
457,2025-03-08T09:30:22,get_subject_stats,32.31,500,2,0,0.631,1,0
458,2025-03-06T17:32:54,get_group_report,92.18,500,11,0,0.475,1,0
463,2025-01-27T13:14:54,get_subject_stats,23.53,300,2,0,0.464,1,0
464,2025-02-04T15:06:48,get_teacher_subjects,37.08,500,1,1,0.627,1,0
468,2025-02-15T09:42:37,get_subject_stats,45.89,500,2,0,0.865,1,0
471,2025-01-09T14:25:21,get_teacher_subjects,52.03,300,1,1,0.876,1,0
473,2025-01-20T18:45:18,get_subject_stats,23.69,500,2,0,0.649,1,0
474,2025-03-04T16:48:22,get_group_report,69.98,100,3,1,0.55,1,0
475,2025-03-10T18:56:54,get_subject_stats,38.91,300,2,0,0.438,1,0
477,2025-02-07T10:48:34,add_grade,33.59,200,1,1,0.126,1,2
478,2025-01-24T18:41:35,get_student_grades,46.58,500,2,0,0.411,1,0
479,2025-02-13T19:26:50,get_subject_stats,32.58,200,2,0,0.881,1,0
485,2025-02-17T09:14:11,get_teacher_subjects,35.36,200,1,0,0.516,1,0
486,2025-01-07T16:42:21,get_group_report,88.96,300,7,1,0.365,1,0
489,2025-03-27T12:49:23,get_student_grades,29.92,300,2,1,0.511,1,0
490,2025-03-03T12:06:10,get_student_average,8.72,50,1,1,0.877,1,0
491,2025-03-21T18:49:13,get_teacher_subjects,2.12,50,1,0,0.792,1,0
494,2025-02-14T17:24:28,get_teacher_subjects,32.36,50,1,0,0.604,1,0
496,2025-01-10T13:50:43,get_subject_stats,38.62,50,2,0,0.341,1,0
499,2025-03-20T16:25:34,get_student_grades,25.22,500,2,1,0.538,1,0
