measurement_id,timestamp,operation_name,duration_ms,data_size,n_queries,is_peak_hour,server_load
96,2025-03-19T18:01:48,analyze_conflicts,553.44,100,101,0,0.638
97,2025-02-06T10:37:27,analyze_conflicts,673.22,50,51,1,0.608
98,2025-03-04T15:54:10,analyze_conflicts,642.48,50,51,1,0.364
99,2025-02-11T16:07:49,add_grade,10.48,300,1,1,0.423
100,2025-02-20T15:48:31,get_student_grades,33.25,500,2,1,0.6
101,2025-03-16T16:07:01,get_group_report,69.68,200,5,1,0.879
102,2025-01-08T12:53:58,get_group_report,66.7,100,3,1,0.191
103,2025-03-09T15:26:53,get_subject_stats,20.91,100,2,1,0.486
104,2025-03-17T16:47:56,analyze_conflicts,855.57,300,301,1,0.209
105,2025-03-09T13:52:00,analyze_conflicts,717.37,300,301,0,0.326
106,2025-02-28T17:09:28,analyze_conflicts,879.96,500,501,0,0.531
107,2025-01-23T16:15:36,analyze_conflicts,1143.5,500,501,1,0.406
108,2025-03-26T13:24:24,get_student_average,27.29,50,1,0,0.891
109,2025-03-11T15:55:06,get_subject_stats,14.41,100,2,1,0.799
110,2025-03-05T15:04:30,analyze_conflicts,1019.68,500,501,1,0.725
111,2025-01-28T19:21:54,analyze_conflicts,855.9,500,501,0,0.639
112,2025-03-22T16:58:18,add_grade,9.69,300,1,1,0.898
113,2025-01-15T18:10:44,get_student_average,25.66,50,1,0,0.34
114,2025-02-14T08:09:15,analyze_conflicts,611.73,200,201,0,0.525
115,2025-03-22T10:15:31,get_group_report,73.78,100,3,1,0.83
116,2025-02-22T18:00:57,analyze_conflicts,690.16,300,301,0,0.744
117,2025-03-10T10:40:27,get_subject_stats,58.36,500,2,1,0.652
118,2025-01-08T11:24:36,analyze_conflicts,939.02,200,201,1,0.387
119,2025-03-13T08:17:00,analyze_conflicts,639.12,200,201,0,0.553
120,2025-02-25T17:51:14,get_subject_stats,31.31,50,2,0,0.586
121,2025-03-25T17:42:43,analyze_conflicts,530.03,100,101,0,0.771
122,2025-02-24T12:08:05,get_subject_stats,7.86,50,2,1,0.828
123,2025-02-17T10:32:58,analyze_conflicts,891.03,300,301,1,0.318
124,2025-01-15T12:04:09,analyze_conflicts,986.09,300,301,1,0.703
125,2025-01-09T16:34:07,analyze_conflicts,925.34,300,301,1,0.464
126,2025-03-12T17:06:43,get_subject_stats,21.24,200,2,0,0.287
127,2025-01-21T13:04:40,analyze_conflicts,876.61,500,501,0,0.759
128,2025-01-10T09:31:07,add_grade,9.59,300,1,0,0.178
129,2025-03-18T15:26:37,get_group_report,119.77,300,7,1,0.694
130,2025-02-20T18:26:17,analyze_conflicts,683.96,300,301,0,0.126
131,2025-01-22T15:23:34,analyze_conflicts,1048.98,300,301,1,0.821
132,2025-02-03T12:42:13,get_student_grades,21.28,300,2,1,0.613
133,2025-01-26T13:36:13,get_student_grades,13.24,50,2,0,0.155
134,2025-01-26T11:57:38,get_group_report,143.71,500,11,1,0.102
135,2025-03-28T16:01:08,get_group_report,47.99,100,3,1,0.112
136,2025-02-02T13:08:47,get_group_report,90.63,500,11,0,0.437
137,2025-03-04T15:28:32,analyze_conflicts,658.38,50,51,1,0.277
138,2025-01-16T12:54:25,get_subject_stats,62.0,500,2,1,0.441
139,2025-02-20T09:09:04,analyze_conflicts,715.97,300,301,0,0.201
140,2025-03-17T19:18:29,get_teacher_subjects,26.01,500,1,0,0.504
141,2025-03-24T18:55:13,analyze_conflicts,506.04,50,51,0,0.444
142,2025-02-14T15:20:42,get_student_average,35.02,200,1,1,0.304
143,2025-01-03T09:27:06,get_subject_stats,12.65,300,2,0,0.696
144,2025-03-11T16:42:07,analyze_conflicts,673.8,100,101,1,0.429
145,2025-03-17T12:13:09,get_student_average,14.42,50,1,1,0.625
146,2025-02-04T13:48:17,analyze_conflicts,513.81,50,51,0,0.559
147,2025-03-01T17:38:59,get_teacher_subjects,40.0,500,1,0,0.626
148,2025-02-12T12:00:11,get_student_grades,23.52,100,2,1,0.796
149,2025-01-24T10:33:13,get_student_average,39.54,50,1,1,0.401
150,2025-02-25T13:36:38,analyze_conflicts,532.47,100,101,0,0.168
151,2025-01-09T17:28:42,analyze_conflicts,521.99,100,101,0,0.439
152,2025-02-04T11:18:43,get_student_average,11.67,200,1,1,0.643
153,2025-03-02T08:00:13,analyze_conflicts,608.82,200,201,0,0.341
154,2025-02-24T12:27:11,analyze_conflicts,676.82,100,101,1,0.203
155,2025-01-13T16:55:47,get_group_report,167.25,500,11,1,0.134
156,2025-03-13T13:45:40,analyze_conflicts,503.03,50,51,0,0.434
157,2025-03-15T13:53:44,analyze_conflicts,486.87,50,51,0,0.836
158,2025-01-13T11:55:19,analyze_conflicts,658.06,50,51,1,0.697
159,2025-01-17T09:32:12,analyze_conflicts,540.42,100,101,0,0.825
160,2025-01-20T11:09:48,analyze_conflicts,652.58,100,101,1,0.707
161,2025-02-22T15:59:56,analyze_conflicts,1004.57,300,301,1,0.552
162,2025-02-03T18:30:28,get_teacher_subjects,16.65,200,1,0,0.605
163,2025-02-15T13:28:02,get_teacher_subjects,19.79,50,1,0,0.146
164,2025-02-15T17:37:35,get_student_grades,27.26,50,2,0,0.863
165,2025-02-20T17:30:32,get_student_grades,37.07,300,2,0,0.221
166,2025-01-17T13:41:11,analyze_conflicts,519.3,50,51,0,0.131
167,2025-02-13T16:26:49,get_student_average,33.6,500,1,1,0.371
168,2025-03-22T09:24:18,get_subject_stats,19.19,200,2,0,0.302
169,2025-03-05T13:58:22,get_teacher_subjects,4.26,100,1,0,0.348
170,2025-02-18T10:24:41,get_subject_stats,53.71,300,2,1,0.733
171,2025-02-17T09:23:01,get_subject_stats,40.84,500,2,0,0.39
172,2025-02-07T13:14:08,analyze_conflicts,557.91,100,101,0,0.224
173,2025-03-02T16:42:21,analyze_conflicts,724.72,50,51,1,0.801
174,2025-03-26T10:57:10,get_teacher_subjects,44.48,300,1,1,0.677
175,2025-02-20T18:18:48,analyze_conflicts,628.78,200,201,0,0.699
176,2025-02-27T11:12:23,analyze_conflicts,1121.26,500,501,1,0.643
177,2025-02-06T12:52:12,get_student_average,31.62,300,1,1,0.741
178,2025-02-18T08:59:06,analyze_conflicts,625.65,200,201,0,0.669
179,2025-02-15T09:57:32,get_student_grades,38.52,200,2,0,0.218
180,2025-02-02T15:25:32,analyze_conflicts,803.88,100,101,1,0.399
181,2025-02-04T13:53:45,analyze_conflicts,488.98,50,51,0,0.62
182,2025-01-25T12:45:30,get_group_report,56.84,50,2,1,0.459
183,2025-01-18T08:46:38,analyze_conflicts,490.24,50,51,0,0.522
184,2025-02-21T11:50:39,analyze_conflicts,779.02,200,201,1,0.466
185,2025-03-17T17:36:15,analyze_conflicts,701.44,300,301,0,0.675
186,2025-03-14T17:11:42,analyze_conflicts,494.11,50,51,0,0.635
187,2025-03-18T16:01:24,add_grade,30.32,50,1,1,0.799
188,2025-01-12T13:50:04,analyze_conflicts,690.15,300,301,0,0.376
189,2025-02-05T17:02:22,get_subject_stats,30.91,50,2,0,0.537
190,2025-01-26T19:08:04,get_group_report,79.14,300,7,0,0.673
191,2025-01-11T11:59:19,get_student_grades,19.82,200,2,1,0.512
192,2025-02-12T12:55:49,get_teacher_subjects,36.46,300,1,1,0.138
193,2025-02-24T13:28:57,add_grade,13.98,50,1,0,0.865
194,2025-03-09T15:51:05,analyze_conflicts,750.73,100,101,1,0.682
195,2025-01-11T10:42:18,analyze_conflicts,1161.94,500,501,1,0.345
196,2025-02-02T19:46:55,get_student_average,16.76,100,1,0,0.829
197,2025-01-03T18:42:40,get_student_average,41.2,200,1,0,0.425
198,2025-03-22T08:50:28,get_subject_stats,8.71,100,2,0,0.128
199,2025-03-02T13:38:09,analyze_conflicts,615.31,200,201,0,0.643
200,2025-03-12T09:25:20,add_grade,26.96,300,1,0,0.62
201,2025-02-17T08:24:58,analyze_conflicts,509.43,50,51,0,0.549
202,2025-03-10T19:44:58,analyze_conflicts,617.85,200,201,0,0.899
203,2025-03-15T09:05:51,analyze_conflicts,538.08,100,101,0,0.646
204,2025-03-10T19:57:19,add_grade,3.6,200,1,0,0.781
205,2025-01-07T13:50:08,get_subject_stats,23.35,100,2,0,0.289
206,2025-03-05T16:39:56,analyze_conflicts,845.42,200,201,1,0.169
207,2025-03-03T16:08:20,analyze_conflicts,919.41,300,301,1,0.614
208,2025-03-21T13:37:11,analyze_conflicts,845.13,500,501,0,0.714
209,2025-03-05T08:19:10,analyze_conflicts,873.26,500,501,0,0.23
210,2025-02-07T16:40:35,get_group_report,104.6,200,5,1,0.32
211,2025-01-19T09:37:09,get_teacher_subjects,33.1,500,1,0,0.237
212,2025-01-03T17:02:41,get_teacher_subjects,5.65,200,1,0,0.717
213,2025-03-01T17:31:56,analyze_conflicts,536.66,100,101,0,0.602
214,2025-02-10T15:29:04,analyze_conflicts,799.11,200,201,1,0.651
215,2025-01-11T15:55:45,analyze_conflicts,927.75,300,301,1,0.355
216,2025-01-11T10:15:29,add_grade,30.59,300,1,1,0.198
217,2025-02-28T09:39:26,analyze_conflicts,522.02,100,101,0,0.299
218,2025-01-25T17:10:31,get_group_report,73.85,200,5,0,0.897
219,2025-03-15T15:15:13,analyze_conflicts,764.05,200,201,1,0.567
220,2025-03-16T15:18:34,analyze_conflicts,865.06,200,201,1,0.107
221,2025-02-02T12:25:03,analyze_conflicts,772.23,100,101,1,0.556
222,2025-03-09T12:52:39,analyze_conflicts,1048.92,500,501,1,0.644
223,2025-03-12T14:48:09,analyze_conflicts,672.33,50,51,1,0.259
224,2025-03-11T08:51:30,get_teacher_subjects,1.06,50,1,0,0.515
225,2025-01-13T10:39:47,analyze_conflicts,1118.15,500,501,1,0.774
226,2025-02-27T16:01:23,get_teacher_subjects,43.5,500,1,1,0.365
227,2025-03-28T17:44:40,analyze_conflicts,692.31,300,301,0,0.121
228,2025-01-19T17:30:10,analyze_conflicts,849.1,500,501,0,0.519
229,2025-03-23T18:07:12,get_student_average,8.69,100,1,0,0.115
230,2025-03-16T14:55:54,analyze_conflicts,752.2,100,101,1,0.689
231,2025-03-16T16:33:24,analyze_conflicts,671.97,100,101,1,0.351
232,2025-03-25T13:55:46,analyze_conflicts,861.85,500,501,0,0.645
233,2025-03-10T15:14:19,add_grade,25.01,500,1,1,0.717
234,2025-03-26T13:46:17,get_subject_stats,28.19,300,2,0,0.33
235,2025-01-10T14:02:18,get_teacher_subjects,52.76,300,1,1,0.864
236,2025-02-07T18:12:52,analyze_conflicts,690.26,300,301,0,0.531
237,2025-01-08T10:03:42,get_subject_stats,39.36,200,2,1,0.824
238,2025-02-23T08:30:06,analyze_conflicts,524.01,100,101,0,0.645
239,2025-02-16T10:41:12,analyze_conflicts,1151.16,500,501,1,0.705
240,2025-01-21T18:36:14,analyze_conflicts,602.37,200,201,0,0.528
241,2025-01-27T14:25:50,get_student_grades,19.0,100,2,1,0.496
242,2025-03-04T08:59:21,add_grade,8.44,50,1,0,0.328
243,2025-03-15T15:17:12,get_teacher_subjects,29.1,500,1,1,0.747
244,2025-01-01T18:47:21,analyze_conflicts,690.29,300,301,0,0.733
245,2025-02-27T17:27:32,get_group_report,64.25,100,3,0,0.362
246,2025-01-01T10:16:24,analyze_conflicts,741.41,50,51,1,0.288
247,2025-01-09T17:41:23,add_grade,29.92,200,1,0,0.654
248,2025-03-23T15:49:19,analyze_conflicts,639.32,50,51,1,0.652
249,2025-01-16T17:09:29,add_grade,9.83,200,1,0,0.698
250,2025-01-25T15:15:43,get_student_average,52.05,500,1,1,0.704
251,2025-03-04T15:03:53,get_student_grades,41.15,500,2,1,0.538
252,2025-02-04T10:43:13,get_teacher_subjects,52.91,500,1,1,0.674
253,2025-03-14T15:29:36,analyze_conflicts,1234.35,500,501,1,0.146
254,2025-02-27T19:00:47,analyze_conflicts,600.87,200,201,0,0.274
255,2025-03-02T13:59:57,analyze_conflicts,708.02,300,301,0,0.155
256,2025-03-24T14:41:26,get_student_grades,17.99,200,2,1,0.4
257,2025-03-05T14:41:55,get_student_average,46.93,300,1,1,0.378
258,2025-01-27T14:00:48,analyze_conflicts,1173.97,500,501,1,0.118
259,2025-01-15T14:22:09,analyze_conflicts,1178.58,500,501,1,0.321
260,2025-02-20T08:49:59,get_subject_stats,33.88,50,2,0,0.807
261,2025-01-15T09:38:43,analyze_conflicts,524.04,100,101,0,0.663
262,2025-01-05T14:32:18,analyze_conflicts,664.12,50,51,1,0.287
263,2025-03-27T17:20:15,get_teacher_subjects,27.92,200,1,0,0.341
264,2025-03-19T11:56:47,analyze_conflicts,1126.46,500,501,1,0.829
265,2025-03-22T15:24:50,get_student_average,29.27,500,1,1,0.52
266,2025-02-08T12:54:14,get_student_average,31.99,100,1,1,0.341
267,2025-03-05T16:24:15,get_student_average,16.59,50,1,1,0.304
268,2025-03-27T15:12:03,analyze_conflicts,706.23,50,51,1,0.315
269,2025-03-24T09:42:35,get_teacher_subjects,7.03,50,1,0,0.274
270,2025-01-24T12:07:47,analyze_conflicts,897.75,200,201,1,0.9
271,2025-01-13T19:58:15,analyze_conflicts,544.18,100,101,0,0.542
272,2025-02-17T16:56:31,get_student_average,23.26,300,1,1,0.473
273,2025-02-11T13:26:02,get_subject_stats,45.57,300,2,0,0.55
274,2025-03-19T08:46:26,analyze_conflicts,530.43,100,101,0,0.336
275,2025-03-21T14:43:21,analyze_conflicts,726.43,100,101,1,0.306
276,2025-01-05T15:46:34,get_subject_stats,45.56,300,2,1,0.491
277,2025-03-02T16:48:00,get_teacher_subjects,35.36,50,1,1,0.43
278,2025-01-17T19:29:23,get_group_report,28.54,50,2,0,0.148
279,2025-01-18T18:35:26,get_teacher_subjects,26.51,300,1,0,0.109
280,2025-03-14T12:51:58,add_grade,46.63,500,1,1,0.243
281,2025-02-09T11:50:25,get_teacher_subjects,24.89,100,1,1,0.163
282,2025-03-27T11:54:05,get_student_average,30.47,500,1,1,0.623
283,2025-01-21T14:00:44,get_student_grades,29.84,50,2,1,0.237
284,2025-03-28T18:06:57,analyze_conflicts,711.38,300,301,0,0.523
285,2025-02-09T19:02:59,analyze_conflicts,555.5,100,101,0,0.159
286,2025-02-01T18:13:37,get_teacher_subjects,14.32,500,1,0,0.215
287,2025-02-22T12:57:34,get_student_average,8.98,50,1,1,0.365
288,2025-01-14T16:14:53,get_group_report,50.1,50,2,1,0.161
289,2025-03-09T14:50:28,get_teacher_subjects,37.34,500,1,1,0.492
290,2025-02-03T14:49:39,analyze_conflicts,879.88,300,301,1,0.336
291,2025-02-23T09:50:40,analyze_conflicts,490.72,50,51,0,0.223
292,2025-02-15T09:23:48,analyze_conflicts,603.66,200,201,0,0.316
293,2025-02-04T14:01:05,analyze_conflicts,719.56,100,101,1,0.383
294,2025-01-10T13:26:24,analyze_conflicts,874.55,500,501,0,0.723
295,2025-03-13T17:10:08,get_teacher_subjects,21.84,100,1,0,0.315
296,2025-02-14T09:19:30,analyze_conflicts,526.69,100,101,0,0.726
297,2025-03-20T19:12:29,analyze_conflicts,545.0,100,101,0,0.186
298,2025-02-26T13:55:21,analyze_conflicts,713.66,300,301,0,0.452
299,2025-03-07T10:30:20,analyze_conflicts,1110.74,500,501,1,0.242
300,2025-03-26T12:15:20,analyze_conflicts,881.8,200,201,1,0.401
301,2025-01-19T09:34:11,get_student_average,39.28,200,1,0,0.645
302,2025-02-27T19:44:04,get_subject_stats,17.39,300,2,0,0.755
303,2025-03-05T10:45:27,get_student_average,20.53,300,1,1,0.731
304,2025-03-14T15:34:02,analyze_conflicts,1179.85,500,501,1,0.733
305,2025-01-04T17:49:15,analyze_conflicts,865.53,500,501,0,0.626
306,2025-03-22T08:41:25,analyze_conflicts,862.53,500,501,0,0.873
307,2025-02-08T09:32:47,analyze_conflicts,680.42,300,301,0,0.515
308,2025-03-19T15:44:32,get_teacher_subjects,22.96,100,1,1,0.221
309,2025-01-27T12:46:09,get_student_average,38.41,50,1,1,0.379
310,2025-02-24T16:44:28,analyze_conflicts,721.83,100,101,1,0.355
311,2025-03-04T08:43:51,analyze_conflicts,513.97,50,51,0,0.231
312,2025-02-15T10:14:51,get_group_report,139.8,500,11,1,0.424
313,2025-01-15T14:37:27,analyze_conflicts,848.61,300,301,1,0.411
314,2025-01-19T19:06:51,get_group_report,77.35,200,5,0,0.798
315,2025-02-17T11:40:20,analyze_conflicts,816.23,200,201,1,0.578
316,2025-02-20T13:11:52,get_teacher_subjects,13.58,50,1,0,0.639
317,2025-02-04T09:15:19,get_teacher_subjects,39.88,500,1,0,0.194
318,2025-03-13T16:27:11,analyze_conflicts,711.62,100,101,1,0.489
319,2025-01-11T16:53:28,get_subject_stats,17.8,100,2,1,0.596
320,2025-03-17T10:41:31,get_student_grades,31.79,300,2,1,0.427
321,2025-01-10T15:02:17,analyze_conflicts,875.24,300,301,1,0.28
322,2025-02-18T17:32:07,analyze_conflicts,709.7,300,301,0,0.558
323,2025-01-25T13:46:28,analyze_conflicts,861.68,500,501,0,0.537
324,2025-02-12T12:55:52,get_student_grades,13.23,100,2,1,0.17
325,2025-02-28T11:45:39,get_student_grades,35.17,100,2,1,0.606
326,2025-03-12T11:34:17,analyze_conflicts,787.57,100,101,1,0.577
327,2025-03-22T12:52:06,analyze_conflicts,864.91,200,201,1,0.208
328,2025-01-08T12:09:45,get_student_average,6.03,50,1,1,0.358
329,2025-03-14T15:24:28,analyze_conflicts,872.73,300,301,1,0.16
330,2025-02-15T16:31:20,get_student_grades,47.71,300,2,1,0.566
331,2025-03-22T19:44:22,get_subject_stats,40.39,50,2,0,0.78
332,2025-02-27T14:18:21,get_student_average,22.82,100,1,1,0.538
333,2025-01-02T13:06:40,analyze_conflicts,715.77,300,301,0,0.727
334,2025-02-07T10:44:58,analyze_conflicts,642.9,50,51,1,0.206
335,2025-02-03T09:23:42,get_group_report,71.18,200,5,0,0.823
336,2025-03-25T18:14:27,analyze_conflicts,692.22,300,301,0,0.624
337,2025-03-22T15:28:00,get_student_grades,32.1,100,2,1,0.106
338,2025-01-13T14:05:46,analyze_conflicts,699.13,50,51,1,0.745
339,2025-01-21T12:43:09,analyze_conflicts,778.03,200,201,1,0.155
340,2025-03-05T15:58:26,get_teacher_subjects,12.88,100,1,1,0.593
341,2025-01-25T09:07:37,analyze_conflicts,555.86,100,101,0,0.684
342,2025-01-09T13:41:05,analyze_conflicts,711.64,300,301,0,0.299
343,2025-03-10T12:13:33,get_subject_stats,53.46,500,2,1,0.586
344,2025-01-16T12:24:07,analyze_conflicts,983.11,300,301,1,0.293
345,2025-02-05T08:24:55,get_student_grades,56.48,500,2,0,0.771
346,2025-02-25T18:04:01,analyze_conflicts,846.91,500,501,0,0.57
347,2025-02-17T08:18:40,analyze_conflicts,556.9,100,101,0,0.67
348,2025-03-20T09:09:17,get_student_average,30.62,300,1,0,0.167
349,2025-03-25T10:53:41,analyze_conflicts,726.92,100,101,1,0.645
350,2025-01-02T19:15:05,analyze_conflicts,718.14,300,301,0,0.84
351,2025-03-24T17:42:47,analyze_conflicts,842.2,500,501,0,0.241
352,2025-02-12T19:33:33,analyze_conflicts,520.45,100,101,0,0.726
353,2025-03-04T10:49:57,get_group_report,103.31,200,5,1,0.123
354,2025-03-21T09:04:31,add_grade,20.52,500,1,0,0.464
355,2025-01-09T17:49:06,analyze_conflicts,686.68,300,301,0,0.815
356,2025-01-28T19:55:00,get_student_grades,25.35,100,2,0,0.296
357,2025-01-18T10:51:58,analyze_conflicts,893.46,300,301,1,0.671
358,2025-02-27T11:04:36,get_group_report,91.68,200,5,1,0.398
359,2025-02-03T11:56:29,get_student_grades,50.88,100,2,1,0.793
360,2025-01-12T09:12:18,add_grade,23.12,200,1,0,0.551
361,2025-02-25T11:49:12,analyze_conflicts,1151.97,500,501,1,0.686
362,2025-01-08T08:34:22,get_group_report,67.3,100,3,0,0.609
363,2025-02-28T08:47:46,get_student_grades,38.36,200,2,0,0.346
364,2025-01-23T14:17:05,analyze_conflicts,706.63,100,101,1,0.135
365,2025-03-03T14:37:06,analyze_conflicts,1203.62,500,501,1,0.504
366,2025-02-22T17:08:15,get_student_average,20.21,50,1,0,0.333
367,2025-01-03T13:12:08,get_student_average,20.11,200,1,0,0.724
368,2025-01-18T10:22:49,get_group_report,45.94,50,2,1,0.266
369,2025-03-10T09:52:45,analyze_conflicts,603.62,200,201,0,0.658
370,2025-02-13T10:32:03,analyze_conflicts,748.62,200,201,1,0.642
371,2025-02-18T08:47:35,analyze_conflicts,558.08,100,101,0,0.3
372,2025-01-05T09:12:52,analyze_conflicts,520.48,100,101,0,0.42
373,2025-01-01T17:04:12,get_subject_stats,24.94,50,2,0,0.822
374,2025-02-04T09:02:29,analyze_conflicts,556.2,100,101,0,0.141
